"final_design.1","final_design.2","final_design.3","final_design.4","final_design.5","final_design.6","final_design.7","final_design.8"
"386",574,797,708,25,715,820,813,982
"387",950,805,371,652,190,671,559,717
"388",365,231,70,96,857,299,250,187
"389",531,716,565,273,795,899,386,936
"390",441,165,483,41,645,938,192,367
"391",788,421,69,755,234,751,238,828
"392",652,893,533,480,614,945,870,345
"393",174,967,670,336,561,842,183,782
"394",142,865,955,948,327,847,705,544
"395",855,770,787,787,899,133,568,372
"396",207,416,136,134,176,549,206,882
"397",977,815,191,944,453,231,652,230
"398",241,94,534,699,938,394,210,635
"399",209,241,732,115,179,924,685,760
"400",351,835,647,120,343,461,491,351
"401",469,245,33,817,810,837,556,575
"402",384,895,507,633,281,375,573,425
"403",324,580,80,517,461,693,161,102
"404",429,466,439,245,928,728,200,214
"405",474,173,624,472,651,887,296,43
"406",590,868,731,4,851,910,93,16
"407",75,342,862,356,350,374,802,794
"408",85,316,650,917,45,29,490,685
"409",782,347,660,38,22,1000,935,784
"410",584,486,906,234,191,226,570,160
"411",748,922,678,105,171,777,648,404
"412",228,609,698,97,36,187,587,73
"413",321,570,962,662,431,317,541,507
"414",308,753,959,319,827,599,399,693
"415",731,318,99,426,990,701,452,654
"416",356,656,491,484,278,25,561,257
"417",385,221,526,926,955,735,925,800
"418",119,42,745,293,105,439,663,966
"419",67,532,616,14,167,337,792,82
"420",696,444,380,705,134,518,81,358
"421",658,312,504,940,865,90,635,983
"422",466,735,244,506,922,159,202,742
"423",955,458,673,169,307,83,609,631
"424",627,879,973,300,679,424,835,435
"425",358,601,998,353,650,788,82,329
"426",261,669,766,772,703,550,228,123
"427",998,495,735,722,123,325,185,223
"428",30,227,320,659,23,97,523,371
"429",208,839,382,12,42,812,501,917
"430",438,941,689,584,600,551,366,285
"431",583,994,160,876,678,863,313,868
"432",390,288,926,344,289,270,299,606
"433",375,510,470,774,845,950,789,467
"434",575,244,463,166,226,98,443,853
"435",643,34,556,165,917,682,869,846
"436",625,641,281,274,383,303,933,679
"437",657,379,538,622,326,846,444,839
"438",470,469,715,838,11,495,6,175
"439",845,538,389,514,298,799,367,780
"440",492,461,397,624,409,382,808,122
"441",346,405,553,974,16,46,404,869
"442",94,54,487,947,568,833,251,892
"443",704,920,485,468,980,508,186,611
"444",106,324,812,716,227,220,127,475
"445",892,680,976,302,889,805,529,960
"446",73,114,597,868,143,240,825,542
"447",98,150,772,504,447,454,84,835
"448",226,704,265,142,981,380,428,120
"449",382,44,430,749,625,500,936,490
"450",543,572,583,103,193,533,879,495
"451",820,86,471,819,212,203,191,88
"452",918,370,513,878,959,677,569,397
"453",435,338,184,640,24,246,87,646
"454",339,681,691,9,656,43,749,179
"455",939,748,727,552,233,503,953,342
"456",370,271,308,544,194,298,470,190
"457",353,119,95,285,957,185,824,319
"458",783,160,172,597,859,251,83,975
"459",508,640,629,894,467,370,520,465
"460",500,88,10,686,329,684,912,568
"461",945,420,797,734,821,865,812,177
"462",206,637,400,698,671,758,387,378
"463",295,435,774,957,186,836,608,135
"464",478,684,456,664,13,584,144,723
"465",723,953,850,712,765,709,203,227
